"NAME","facility_density"
"Greene",0.284760978700551
"Franklin",0.284093921605228
"Denton",0.284003448397223
"Washington",0.283812308795892
"Klickitat",0.283809885338496
"Hendricks",0.283389855409039
"Knox",0.283322391745875
"Miami",0.282720381390325
"Mayes",0.282422810401811
"Vigo",0.28224617869213
"Van Wert",0.282191745958256
"Shelby",0.282061233539942
"Platte",0.282008040092893
"Carroll",0.281199883932883
"Allendale",0.280829592452343
"Grant",0.280745248022445
"St. Mary",0.280193217319152
"Boone",0.27935159820525
"Grant",0.279154427237622
"Orange",0.279032896273874
"Suffolk",0.278139147277782
"Kenosha",0.277683126327769
"Wayne",0.277432866659476
"Ward",0.277077118895112
"Middlesex",0.276704004918823
"Sussex",0.276235541227776
"Pittsylvania",0.276230614688361
"Grayson",0.276072561555631
"Choctaw",0.275891447653538
"Summit",0.275698018743849
"Ingham",0.275447445979703
"San Bernardino",0.274608582649293
"McNairy",0.274073343243517
"Prince George",0.273896942946949
"Boone",0.273730956838351
"Clark",0.272994158746242
"Iosco",0.272763832763322
"Adams",0.272183077331966
"Carroll",0.270822876813606
"Marion",0.27071702958481
"Madison",0.270391370539699
"Greene",0.270368339111861
"Clay",0.269690522223076
"Fillmore",0.268749708950174
"Webster",0.268698842300479
"Webster",0.268568732429619
"Hamilton",0.268284424061686
"Douglas",0.268043655019788
"Montcalm",0.267829475894538
"Pocahontas",0.26694862630435
"Kalamazoo",0.266153858271596
"Bradford",0.266031104126377
"Goochland",0.2656279399346
"Franklin",0.265114684964855
"Hood",0.265097783142709
"Carlton",0.264752902821355
"Grundy",0.264424313444813
"Sangamon",0.264149027044267
"Macon",0.263658557205602
"Bay",0.262466835815381
"Richland",0.262092822041318
"Polk",0.261811518352354
"Miami",0.26170605252955
"McDonough",0.261691060932274
"Collin",0.261490130734469
"Audubon",0.26127211489883
"Troup",0.259719231760182
"Dorchester",0.258035157447912
"Lubbock",0.257181549722325
"Rock Island",0.25672877752199
"Graham",0.256134650452047
"Carroll",0.255800849353679
"Borden",0.255677358088166
"Autauga",0.255537804223606
"Peach",0.255226232277074
"Sullivan",0.25501568921464
"Moore",0.254698640155588
"Somerset",0.254611548185027
"Chester",0.254181721208041
"Beaver",0.253891713008647
"Pasco",0.25181652881147
"Virginia Beach",0.251784575369613
"Starr",0.251484077210404
"Saluda",0.250963098548282
"Gosper",0.250355435414074
"Franklin",0.250075949098561
"Logan",0.249513523785383
"Otoe",0.249503784970891
"Jefferson",0.249410815229032
"Lackawanna",0.249034588048964
"Multnomah",0.248925880476269
"Rusk",0.248896746409428
"Glynn",0.248788532644202
"Dickinson",0.248643930496033
"Lamar",0.248270552027201
"Hot Spring",0.248219088214362
"Marshall",0.247416464137832
"Trimble",0.247161870872383
"Page",0.246514507848864
"Ford",0.245923681929752
"Carson City",0.245764547161027
"Crane",0.245488250435695
"Grady",0.244609283799244
"Howard",0.244582632532399
"Ouachita",0.24451125354374
"Marinette",0.243197110907734
"Union",0.243068951042772
"Maricopa",0.242747150741134
"Campbell",0.241758627092275
