"NAME","mean_pm25_exact"
"Wetzel",8.6189079284668
"Muscogee",8.61659717559814
"Crow Wing",8.6161994934082
"Roane",8.61518096923828
"Scott",8.61514186859131
"Wake",8.61509799957275
"Worth",8.61497402191162
"Morgan",8.61165523529053
"Chenango",8.61073589324951
"Calhoun",8.61001396179199
"Morgan",8.60912895202637
"Cook",8.60872173309326
"Ashley",8.60783767700195
"Hardin",8.60625457763672
"Polk",8.60619449615479
"Hillsborough",8.60572052001953
"Jefferson Davis",8.60366153717041
"Oneida",8.60215091705322
"Stoddard",8.60132026672363
"Rutherford",8.60126209259033
"Lincoln",8.60092830657959
"Coryell",8.60036945343018
"Yellow Medicine",8.59941387176514
"Jasper",8.59868431091309
"Sargent",8.59858989715576
"Eddy",8.59793663024902
"Webster",8.59593677520752
"Monroe",8.59431743621826
"Clinton",8.59419059753418
"Wayne",8.59410762786865
"Hopkins",8.59340572357178
"Grayson",8.59063911437988
"Hinds",8.5897970199585
"Blount",8.58961486816406
"Floyd",8.5887041091919
"Hampton",8.5881290435791
"Newton",8.58767700195312
"Berrien",8.58705139160156
"Cass",8.58634567260742
"Jefferson",8.58505344390869
"Covington",8.584716796875
"Trimble",8.58395862579346
"Bullitt",8.58381652832031
"Culpeper",8.58193683624268
"Cerro Gordo",8.58190536499023
"Minnehaha",8.58184909820557
"Dallas",8.57595634460449
"Starr",8.57529735565186
"Jefferson",8.57401084899902
"Mercer",8.57357978820801
"McDonough",8.57317543029785
"Lincoln",8.57236576080322
"Morton",8.57231616973877
"Price",8.57224655151367
"Fayette",8.57218837738037
"Allegany",8.57183742523193
"Burnet",8.56902122497559
"Deuel",8.56691551208496
"Morrison",8.56648445129395
"Jersey",8.56484794616699
"Bracken",8.56238460540771
"Bastrop",8.56140804290771
"Lee",8.5610761642456
"Davison",8.56063461303711
"Delta",8.5572338104248
"Moody",8.55686569213867
"Marshall",8.5561933517456
"Tuscola",8.55458831787109
"Meigs",8.55423736572266
